caseid,method,noise_bin,gaussian_sigma,rician_sigma,mae,rmse,psnr,ssim
1011088,NLM,mid,18.925553053095765,14.5917486204731,0.00683973,0.00866308,41.24655091,0.99330688
1011088,ResidualUNet,mid,18.925553053095765,14.5917486204731,0.00583829,0.00739704,42.61883625,0.99608213
1011779,Noisy,low,22.347563150925097,11.809055965115888,0.00781185,0.00986225,40.12047626,0.99298900
1011779,Gaussian,low,22.347563150925097,11.809055965115888,0.00957882,0.01275449,37.88673469,0.99301684
1011779,NLM,low,22.347563150925097,11.809055965115888,0.00772650,0.00976458,40.20693030,0.99314439
1011779,ResidualUNet,low,22.347563150925097,11.809055965115888,0.00664727,0.00843109,41.48232612,0.99534726
1012275,Noisy,mid,8.815159572687282,18.11402762652627,0.00597276,0.00754049,42.45201114,0.99540752
1012275,Gaussian,mid,8.815159572687282,18.11402762652627,0.00837511,0.01138555,38.87292176,0.99463224
1012275,NLM,mid,8.815159572687282,18.11402762652627,0.00595517,0.00752012,42.47550198,0.99543065
1012275,ResidualUNet,mid,8.815159572687282,18.11402762652627,0.00532596,0.00673863,43.42856736,0.99658293
1012283,Noisy,mid,23.526772970253887,13.943790595958058,0.00738582,0.00932470,40.60730377,0.99206197
1012283,Gaussian,mid,23.526772970253887,13.943790595958058,0.00935492,0.01275646,37.88539539,0.99218595
1012283,NLM,mid,23.526772970253887,13.943790595958058,0.00737407,0.00931150,40.61960430,0.99211496
1012283,ResidualUNet,mid,23.526772970253887,13.943790595958058,0.00618202,0.00785115,42.10133376,0.99498397
1012726,Noisy,high,19.459249787548718,21.952057390371824,0.00704158,0.00888846,41.02347363,0.99268579
1012726,Gaussian,high,19.459249787548718,21.952057390371824,0.00938363,0.01285517,37.81844211,0.99259031
1012726,NLM,high,19.459249787548718,21.952057390371824,0.00699161,0.00883159,41.07922225,0.99294049
1012726,ResidualUNet,high,19.459249787548718,21.952057390371824,0.00597014,0.00758621,42.39950157,0.99536508
1013344,Noisy,high,5.929285505706455,21.168312901931774,0.00732450,0.00924533,40.68155476,0.99388951
1013344,Gaussian,high,5.929285505706455,21.168312901931774,0.00968672,0.01311377,37.64545156,0.99322063
1013344,NLM,high,5.929285505706455,21.168312901931774,0.00737155,0.00932896,40.60333780,0.99328691
1013344,ResidualUNet,high,5.929285505706455,21.168312901931774,0.00630268,0.00799475,41.94390568,0.99587321
1013372,Noisy,low,13.825552411809303,8.170009946032138,0.00564417,0.00712578,42.94335310,0.99598700
